1 abacus   n. 算盘
75 aid   n. 帮助,有帮助的事物; v. 援助,帮助; abbr.=Agency for International Development 国际开发署[美]

76 airflow   气流

77 aisle   n. (席位间的)通道

78 alarm   n. 警报,惊慌,警告,报警器; v. 使...惊慌,警告

79 alert   a. 警觉的,灵敏的,留心的

80 algebraic   代数的

81 algorithm   算法

82 alias   n. 别名,化名; ad. 别名,化名



84 aligned  对齐的，均衡的

85 alignment   n. 调整(成直线,准线,定向,直线性,结盟)



87 allocate   v. 分派,分配,分配额

88 allocation   n. 配置,分配,安置

89 allocator   分配算符

90 allow   v. 允许,准许; vi. (for)考虑到; vt. 允许

91 allowable   容许的,承认的

92 allowed  容许的

93 all-purpose  通用的

94 ally   n. 盟友,同盟国; v. 联盟,联合,与...有关系

95 alpha   n. 希腊字母的第一个字母,最初,开端

96 alphabet   n. 字母表

97 alphabetic   a. 照字母次序的,字母的

98 alphabetical   a. 按字母表顺序的

99 alphabetically   按字母表顺序地

100 alphanumeric   字母数字的
101 alteration  n. 改变,变更

102 alternate   a. 交替的,轮流的; v. 交替,轮流

103 alternate key  替代关键字，备用关键字

104 alternately  ad. 交替地,隔一个地

105 alternative  a. 两者择一的; n. 替换物,取舍; v. 两者取一

106 alternative test  交错检验

107 always  ad. 总是

108 always warn  随时警告

109 amount  n. 数量,总额; v. 总计,等于

110 ampere  n. 安培

111 ampersand  ＆(=and)号

112 amplification  n. 扩大, 扩充，膨胀; n. 详述, 引伸，推广; n. 增幅, 放大(率), 放大倍数[系数]

113 amplifier  n. 放大器,扩音机

114 amplify  v. 扩大,详述,使...增幅

115 amplitude  n. 广阔,充足,增幅; n. 振幅、波幅（物理）

116 analog  n. 类似(模拟量)

117 analogue  n. 类似物,模拟

118 analyser  分析程序，分析者



120 analyst  n. 分析家,分解者,分析者

121 analyze  v. 分析,分解; vt. 分析

122 analyzer  分析机

123 anamorphic lens  歪象校正透镜



125 angle  n. 角度; n. 盎格鲁人

126 animation  n. 活泼,生气,卡通制作

127 annotate  v. 注解

128 annotation  n. 注解,评注

129 announce  v. 发表,广播（电台节目）,通告,正式宣布; vi. 当电台的播音员; vt. 宣布,宣告

130 announciator  报警器，信号器

131 anode  n. 阳极

132 ANSI  美国国家标准学会

133 answer  n. 答案,回答; v. 回答,符合

134 answer back  应答

135 answer mode  应答方式

136 anti-aliasing  反走样，去假信号

137 anticipate  v. 预期,期待;占....之先,抢....之先;提前使用

138 anti-virus program  反病毒程序

139 aperture  n. 孔,穴,缝隙

140 API  应用编程接口

141 apostrophe  n. 省略符号,顿呼法

142 appear  v. 出现,显得

143 appearance  n. 外表,出现,出场

144 append  v. 附加,添加,悬挂; n.[计算机] DOS 命令建立数据文件的子目录搜索路经

145 appendix  n. 附录

146 apple  n. 苹果

147 applet  小应用程序

148 appliance computer  家用计算机

149 applicable  a. 合适的,适用的

150 application  n. 申请; n. 应用软件程序

151 apply  v. 应用,申请,涂

152 apportion  v. 分配,分摊,分派

153 appropriate  a. 适当的; v. 拨出（款项）

154 appropriately  ad.适当地

155 apron  n. 围裙

156 Arabic  n. 阿拉伯语; a. 阿拉伯语的,阿拉伯人的,阿拉伯式的

157 arbitrary  a. 任意的,恣意的,专制的

158 arbitrary value  任意值

159 arcade game  走廊游戏机

160 architecture  n. 建筑学, 建筑业; [总称]建筑物, 建筑风格

161 archive  n. 档案文件; n.（计算机压缩类软件的）压缩包; vt. 归档(编档保存)

162 archive attribute  存档属性





165 area chart  分区图，对比图

166 area fill  区域填充

167 area graph  区域图

168 area name  域名

169 argument  n. 辩论,争论,论据,理由

170 arithmetic  n. 算术

171 arrange  v. 安排,整理,排列; n. 安排,排列

172 arrange icons  重排图标

173 arrange windows  重排窗口

174 arrangement  n. 安排

175 array  n. 数组,排列,陈列,大批,一系列; v. 排列,布署,打扮

176 articulation  n. 关节,接合,清晰发音

177 artifacts  n. 史前古器物

178 artificial  a. 人造的,虚伪的,武断的

179 artwork  n. 艺术品,美术品

180 ascend  v. 上升,攀登

181 ascending  上升的,升序

182 ascending order  升序

183 ascending sort  升序排序

184 ASCII  美国信息交换标准码

185 aspect ratio  高宽比，纵横比

186 assemble  v. 聚集,集合,装配

187 assembled  安装的,组给的

188 assembler  汇编程序

189 assembly  n. 集合,集会,装配

190 assertion  n. 断言,主张

191 assets  n.财产；资产

192 assign  v. 分配,指派; n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符

193 assigned  adj．指定的

194 assignment  n. 分配,功课,任务,被指定的(课外)作业;(分派的)任务,委派

195 assist  n. 帮助,协助; v. 协助

196 assistance  n. 帮助,援助

197 associate  n. 同伴,伙伴; v. 联合,联想; a. 副的

198 association  n. 联合,结合,交往,协会,社团

199 associative  a. 联合的(相关的,协会的)

200 assortment  n. 分类,配合,各色俱备之物
201 assumed  假定的

202 asterisk  n. 星号(*)

203 asynchronous  adj. 异步的

204 AT bus  AT总线

205 AT-keyboard  AT键盘

206 attach  v. 附上,系上,贴上,使依恋

207 attached  附加的

208 attachment  n. 附件,附著,附属物,依恋

209 attack  n. 攻击,评击; v. 攻击,动手,疾病发作

210 attention  n. 注意,(口令)立正!

211 attenuation  衰减

212 attenuator  衰减器

213 attractive  a. 有吸引力的,引起注意的

214 attribute  n. 属性,特征; v. 归于,属于

215 audio  a. 成音频率的,声音的

216 audiovisual  音像的,视听的

217 auditing  n. 审计,查账,决算

218 augend  被加数

219 augment  v. 增加,增大

220 authentication  n. 证明,鉴定

221 authenticator  认证器

222 author  n. 作者; vt. 创造,写作

223 author level  作者级

224 authoring  创作

225 authority  n. 权力,权威,当局

226 authorize  v. 授权与,批准,委托代替

227 authorized  a. 经认可的,审定的,经授权的

228 auto  n. 自动; (=automobile)汽车

229 autodial  自动拨号

230 autoformat  自动套用格式

231 autoindex  自动变址，自动索引

232 automata  自动操作,自动控制

233 automatic  n. 自动的机器; a. 自动的,无意识的

234 automatically  a. 不经思索的; ad. 自动地

235 automation  n. 自动化

236 automaton  n. 自动机器,机器人

237 auxiliary  n. 帮助者,辅助物,助动词; a. 附加的,辅助的

238 availability  n. 有效,有用,有益

239 available  a. 可用的,有效的

240 average  n. 平均,平均数; a. 一般的,通常的,平均的; v. 平均



242 axis  n. 轴

243 babble  v. 呀呀学语,喋喋不休

244 back  a. 后面的; v. 后退; ad. 向后地; n.后背,背脊

245 backbone  n. 脊椎,志气

246 backdrop  n. 背景幕,背景

247 background  n. 背景

248 backlight  背后照明灯

249 backlog  n. 积累(积压待办事项); vi. 把...积压起来

250 backplane  底板

251 backspace  退格

252 backspace key  退格键

253 backtrack  回溯



255 backward  a. 向后的; ad. 向后

256 badge  n. 徽章

257 balance  n. 天平,平衡,差额; v. 平衡

258 band  n. 带子,队,乐队; v. 联合,结合

259 band-pass filter  带通滤波器

260 bandwidth  n. 频带宽度(通带宽度)

261 bank  n. 银行,堤,岸

262 bar  n. 条,棒,横木,酒吧; v. 禁止,阻挠

263 bar chart  条线图(一种统计表)

264 bar code  条形码

265 bar graph  条形图

266 bar-code reader  条码阅读器

267 bare computer  裸机，硬件计算机

268 barrel  n. 枪管,炮管,桶; vi. 快速移动; vt. 把...装桶



270 base 2  2进制

271 base address  基地址

272 base font  基本字体

273 base hardware  基本硬件

274 baseband  基带

275 baseline  基线

276 basic  n. 基本,要素; a. 基本的,碱性的; [计] BASIC语言, 基本高级语言

277 basis  n. 基础,根据

278 bass  n. 低音

279 BAT file extension  BAT文件扩展名

280 batch  n. 一次所烘的面包,一次所制之量,一组; n.批, 成批, 分批



282 batch processing  批处理



284 baud  波特

285 Baud rate  波特率

286 bay  n. 海湾

287 beacon  n. 烟火,灯塔

288 beam  n. 光线,电波,横梁,容光焕发; v. 微笑,闪亮

289 beam deflection  射束偏转


291 beeper  n. 导弹遥控员(雷达遥控装置)

292 begin  开始

293 beginner  n. 初学者

294 bel  贝尔

295 bell  n. 钟,铃

296 bell character  响铃字符

297 below  ad. 在下面,向下; prep.&a. 在...下面

298 benchmark  n. 水准点(基准点,标准检查程序,测定基准点)

299 bespoke software  定做软件

300 best fit  最佳配合
301 bias  n. 偏见

302 bibliography  n. (有关某一专题的)书目,参考书目

303 bid  n. 出价; v. 命令,吩咐,投标

304 bidder  n. 出价人,投标人

305 bill  比尔(男名); n. 帐单,钞票,票据,清单,议案,法案,广告,鸟嘴,喙; vt.开帐单,用海报宣传,把...列成表

306 billing  记帐,编制帐单

307 binary  a. 二进位的,二元的

308 binaural  双声道的

309 bind  v. 绑,约束,装订

310 binder  n. 缚者,用以绑缚之物,夹器

311 binding  n. 装订; vbl. 绑

312 bionics  n. 生体工学

313 bios  基本输入输出系统

314 bipolar  双极的

315 bistable  双稳态

316 bit  n. 一点儿,少量; n. 钻头,马嚼子,辅币; n. 位,比特(二进位制信息单位); v. 控制

317 bitmap  位图

318 black box  黑盒

319 black matrix  黑阵

320 blank  a. 空白的; n. 空白(处); vi. 消失; vt. 使模糊不清

321 blanket  n. 毛毯

322 blanking  空白

323 blast  n. 爆破,冲击波,一阵,汽笛声; v. 爆破,炸掉

324 blink  v. 眨眼

325 blinking  a. (英俚)该死的,讨厌的,十足的

326 block  n. 街区,木块,石块; v. 阻塞

327 blocking  模块化

328 blower  风扇

329 board  n. 木板,甲板,董事会; vi. 登(飞机、车、船等)

330 body  n. 身体,主体,正文; ad. 亲身地

331 bold  a. 大胆的,粗体的,醒目的

332 bold italic  粗斜体

333 boldface  黑体字

334 book  n. 书; v. 登记,预订

335 bookmark  n. 书签

336 Boolean  布尔

337 boot  n. 靴子,[英]汽车行李箱; vt. 踢

338 bootable  可引导的,可启动的

339 bootable disk  引导盘

340 booting  启动

341 bootstrap  引导指令(程序),辅助程序

342 border  n. 边缘; v. 作...之疆界,加边

343 borrow  v. 借,借入,借用

344 bottleneck  n. 瓶颈

345 bottom  n. 底部;屁股，臀部; a. 底部的

346 bottom-up  自底向上

347 bounce  n. 跳,反跃,弹力; v. 弹跳,使...跳

348 bound  n. 跳跃,界限,范围; a. 受约束的,装订的,有义务的; v. 跳跃

349 boundary  n. 分界线,边界

350 bounding box  边框

351 BPI  每英寸位数

352 bps  每秒传送位数，比特/秒

353 brace  n. 支柱,曲柄; v. 紧缚,打起精神

354 bracketed  加括号的

355 brackets  括号，大括号

356 branch  n. 分枝,树枝; v. 分枝; vi. 分支

357 branching  分支（的）

358 break  n. 休息,中断,破裂; v. 打破,弄破,弄坏

359 breakpoint  断点

360 breve  短音符号

361 bridge  n. 桥; v. 渡过,架桥

362 bridging  桥接的

363 bright  a. 明亮的,阳光的; ad. 亮

364 brightness  n. 光亮,明亮,聪明

365 broadband  宽频带,宽带

366 broadcast  n. 广播,广播节目; a. 广播的; v. 广播

367 browse  v. 浏览,吃草

368 browser  n. 吃嫩叶的动物,浏览书本的人

369 brush  n. 刷子,画笔; v. 刷,画

370 bubble  n. 泡沫

371 bucket  n. 水桶

372 buffer  n. 缓冲,缓冲区

373 buffering  中间转换(寄存),缓冲记忆装置

374 bug  n.小虫, 臭虫; v.装置窃听器, 打扰

375 build  v. 建立,建筑

376 bulb  n. 电灯泡,球状物

377 bulk  n. 大部分,大多数,大块,大批,容积,体积; vi. 越来越大; vt. (使)更大

378 bulk storage  大容量存储器

379 bullet  n. 子弹

380 bumper  n. 缓冲挡,满杯,丰收

381 bundle  n. 捆,束

382 bureau  n. 局,办公处

383 burst  n. 破裂,阵,爆发; v. 爆裂,突发

384 bus  n. 公共汽车

385 bust  n. 半身像,胸部,萧条,破产,不景气

386 busy  a. 忙的,繁忙的; v. 使忙于

387 button  n. 钮扣,按钮; v. 扣住

388 buyer  n. 买主,买方

389 buzzer  n. 翁翁作声的东西,蜂音器,信号手

390 bypass  v. 绕开, 忽视; n. 支路，旁道

391 byte  字节,8位元组

392 cabinet  n. 橱柜,内阁

393 cable  n. 电缆,海底电报; v. 打海底电报

394 cabling  布线

395 cache  n. 隐藏所,隐藏的粮食或物资,贮藏物; v. 隐藏

396 caddy  盒,箱

397 cage  n. 笼子; v. 关入笼中; vt. 把...关入笼内

398 calculate  v. 计算,考虑,计划

399 calculation  n. 计算

400 calendar  n. 日历,月历,日程表
401 calibrate  v. 测定口径,查看刻度,划刻度 校正

402 call  n. 呼叫,访问,打电话; v. 呼叫,访问,打电话; n.[计算机] DOS命令 : 从当前运行的批文件中引用第二个批文件,然后返回到原来的批文件

403 callback  回叫(回答)信号

404 caller  n. 打电话的人

405 calling  n. 职业,行业,邀请 召集

406 callout  插图的编号

407 cam  计算机辅助制造

408 camcorder  便携式摄像机,摄录机

409 camera  n. 照相机

410 cancel  n. 取消,撤消; v. 取消,删去

411 canvas  n. 帆布

412 capability  n. 能力,才能,性能,容量

413 capable  a. 有能力的

414 capacitor  n. 电容器

415 capacity  n. 能力,容量,容积

416 capital  n. 首都,首府,大写字母,资产; a. 首都的,重要的

417 capitalized  大写的

418 capstan  主动轮

419 caption  n. 说明,字幕,标题; v. 加上标题,加上说明

420 capture  n. 抓取,战利品,捕获之物; v. 抓取,获得,迷住

421 card  n. 卡片

422 caret  n. 脱字符号,( ^ 文章中插字使用)

423 carousel  n, 旋转木马

424 carriage  n. 四轮马车,车厢

425 carry  n. 进位,超位; v. 携带,支持,意味,搬运,拿

426 carry bit  进位位

427 carry flag  进位标志

428 cartridge  n. 弹药筒,弹药,一卷软片; 墨水筒，笔芯

429 cascade  n. 小瀑布; v. 瀑布似地落下; vi. 像瀑布般冲下或倾泻

430 cascading menu  层叠式菜单

431 cascading windows  层叠窗口

432 case  n. 情形,情况,箱,案例

433 case sensitive  区分大小写

434 cash  n. 现金; v. 兑现,付现款

435 cassette  n. 盒式录音带

436 cast  n. 演员阵容,投掷; v. 投,掷,抛

437 catalog  n. 目录,型录,大学概况手册

438 catalogue  n. 目录,总目; v. 编入目录

439 catch  n. 捕捉,陷阱,捕获物; v. 抓住；赶上,了解,感染

440 category  n. 种类,类别

441 catena  系列

442 cation  正离子,阳离子

443 cause  vt.引起; n.原因

444 caution  n. 小心,慎重,警示; v. 警告

445 CD caddy  CD盒

446 CD-R  可擦写光盘

447 CD-ROM  只读存储光盘; n. (只读)光盘驱动器

448 CD-ROM player  CD-ROM播放器

449 CD-WO  一次写光盘

450 cedilla  变音符

451 cel  动画序列中的单帧

452 cell  n. 细胞,电池,单人牢房,蜂房

453 Celsius  a. 摄氏的

454 center  n. 中心,中央; v. 集中; vi. 居中; vt. 使集中

455 centering   定中心,置于中心

456 centimeter  n. 厘米

457 central  a. 中心的,中央的

458 century  n. 世纪

459 certain  a. 一定的; pron. 某几个,某些; 肯定的,无疑的,必然发生的

460 certainty  n. 确定,确实的事情

461 certification  n. 证明, 保证，鉴定

462 C-format  C格式

463 CGA  color graphics adapter彩色图形适配器

464 chain  n. 链,连锁,束缚; v. 用铁练锁住,束缚,囚禁

465 chained  链接的

466 chamber  n. 室,房间,会所,枪膛; v. 放在枪膛内,关在室内

467 change  n. 变化,零钱; v. 改变

468 channel  n. 通道,频道,海峡; v. 引导,开导,形成河道

469 chapter  n. 章,回,篇

470 char  n. 木炭(散工,茶,字符); vt 烧成炭(做散工)

471 character  n. 个性,字符,人物

472 characteristic  a. 特有的,典型的; n. 特性,特征,特色

473 charge  n. 电荷,指控,费用; v. 控诉,加罪于,要价,赊帐,充电,管理

474 chart  n. 图表; v. 制成图表

475 chassis  n. 底盘

476 checker  n. 检验器(检查员,方格); vt 制成方格式(交错)

477 checkout  n. 检查(调整,验算,检查输出结果,工时扣除)

478 checkpoint  n. 检查站

479 child  n. 小孩

480 Chinese  a. 中国的; n. 汉语,中国人

481 chip  n. 薄片,芯片; v. 削,切,削成碎片

482 choice  a. 上等的,精选的; n. 选择

483 choice area  选择区

484 choose  v. 选择

485 chord  n. 弦,和音,情绪

486 chroma  色度,浓度

487 chromatic  a. 彩色的,五彩的

488 chrominance  [物]色度( 任意一种颜色与亮度相同的一个指定的参考色之间的差异,如彩色电视采用白色为参考色)

489 chunk  n. 大块,矮胖的人或物

490 cine film  电影胶片

491 cipher  n. 零,暗号; v. 计算,做算术

492 ciphertext  密码文本

493 circle  n. 圆周,社交圈,循环; v. 包围,盘旋,环绕

494 circuit  n. 电路,一圈,巡回

495 circular  a. 循环的,圆形的; n. 传单,通报

496 circumflex  弯曲的

497 circumstance  n. 环境,状况,事件

498 CISC  复杂指令集计算机

499 citation  n. 引用,引证,引用文

500 clamp  n. 螺丝钳,夹子; vt.夹住，固定
501 classify  v. 分类,归类,分等

502 clause  n. 分句,从句,条款,款项

503 clear  a. 清楚的,明确的,澄清的; v. 澄清,清除障碍,放晴

504 click  n. 点击,滴答声,拍答声; v. 点击,作滴答声,使...作拍答声

505 client  n. 顾客,委托人; n. 客户

506 clip  n. 夹子,别针,回形针,修剪,剪下来的东西; v. 修剪,剪报,痛打

507 clip-art  剪辑艺术

508 clipboard  n. 付有纸夹的笔记板; n. 剪贴板

509 clipping  n. 剪断,剪裁,剪取物; a. 第一流的,头等的,极好的

510 clock  n. 时钟,计时器

511 clockwise  a. 顺时针方向的; ad. 顺时针方向

512 close  n. 结束,完结; a. 靠近的,亲近的; v. 关,结束,靠近

513 closed  a. 关着的; a.封闭的

514 closely  ad. 接近地

515 CLS  屏幕清除的系统命令

516 cluster  n. 串,丛,群; v. 聚合,成串,丛生,使...聚集

517 coalesce  v. 合并,联合,接合

518 coating  涂层, 衣料

519 coax  v. 哄,诱骗,灵巧慢慢的做

520 coaxial  同轴的

521 coaxial cable  同轴电缆

522 COBOL  通用商业语言


526 coexistence  n. 共存

527 cold  adj.冷的; n. 感冒; v. 冷(的)

528 collaboration  n. 合作,通敌

529 collapse  n. 崩溃,倒塌; v. 倒塌,崩溃,瓦解

530 collateral  a. 并行的,附随的,旁系的; n. 支亲,副保,附属担保物

531 collating  整理

532 collator  整理器,校对机

533 collection  n. 收藏品,收集物

534 collision  n. 碰撞,冲突

535 colon  n. 冒号; n. 结肠，直肠

536 color  n. 颜色,气色,风格; v. 把...涂颜色,粉饰,脸红

537 column  n. 柱，圆柱；柱形物,专栏; [计算机] 列

538 combination  n. 结合,联合

539 combine  n. 集团,联合收割机; v. 化合,结合,联合; vi. 结合,联合; vt. 使结合,使联合

540 combo box  组合框

541 comma  n. 逗号

542 command  n. 命令,指挥,控制; v. 命令,指挥,支配; n.[计算机] DOS命令 : 引用辅助命令处理器

543 comment  注释,评论

544 commercial  a. 商业的; n. 商业广告

545 commit  v. 委托(托付),犯罪,作...事,承诺; [计算机] 委托

546 commitment  n. 委托,实行,承诺,保证(律）拘禁令; n. 奉献，献身

547 common  a. 共同的,平常的,普通的; n. 平民,普通,公地,公园

548 communicate  v. 沟通,传达,交流

549 communication  n. 沟通,交通,沟通; [计算机] 通信

550 compact  a. 紧凑的,紧密的,简洁的; v. 使装满,使简洁; [计算机] 紧凑的; n. 合约，条约

551 compaction  压缩

552 company  n. 公司,友伴,交际

553 comparand  比较数

554 comparator  比较器

555 compare  v. 比较,比喻,对照

556 comparison  n. 比较

557 compatibility  [计算机] 兼容性

558 compatible  a. 能共处的,可并立的,适合; [计算机] 相兼容的

559 compilation  n. 编译,编辑

560 compile  v. 编译,编辑,编纂; [计算机] 编译

561 compiler  编译器,编译程序

562 complement  n. 补足物,补语,余角; v. 补助

563 complete  a. 彻底的,完整的,已完成的; v. 完成,使完整

564 completely  ad. 完全地,十分地,全然

565 completion  n. 完成,完满

566 complex  a. 复杂的; n. 复合体

567 complexity  n. 复杂(性),复杂的事物

568 complicated  a. 复杂的,难懂的

569 component  n. 元件,组件,成份; a. 组成的,构成的

570 compose  v. 组成,写作,作曲

571 composing  n.组成

572 composite   a. 合成的,复合的; n. 合成物

573 compress  v. 压缩,压榨; [计算机] 压缩

574 compressed  a. 压缩的

575 compression  n. 压缩,压榨,缩小

576 comprise  v. 包含

577 computability  可算性

578 computation  n. 计算

579 computation center  计算中心

580 compute  计算

581 computer  n. 计算机

582 computer virus  计算机病毒

583 concatenate  v. 连结,连锁

584 concentration  n. 集中,专心,浓度

585 concentrator  集线器,集中器

586 concept  n. 概念,观念

587 concordance  索引

588 concurrent  a. 同时发生的

589 condense  v. 浓缩,摘要,缩短

590 condition  n. 情况,条件; v. 以...为条件,决定,支配,训练

591 conditional  a. 有条件的,假定的

592 conditioning  n. 调节(整理,改善,条件作用)

593 conductor  n. 售票员 导体

594 conduit  n. 导管,水管,沟渠

595 confidential  a. 机密的,获他人信赖的,易于信任他人的

596 configuration  n. 结构,布局,形态; [计算机] 配置

597 configure  v. 配置

598 confirm  v. 确定,批准,证实

599 confirmation  n. 确认

600 conflict  n. 冲突,矛盾,争执; v. 争执,撞斗,冲突; [计算机] 冲突
601 conform  v. 使一致,遵守,使顺从

602 confuse  v. 混乱,狼狈,困惑

603 congestion  n. 混杂,拥挤,过剩; [计算机] 拥挤

604 conjunction  n. 连接词,连合,关连

605 connect  v. 连接

606 connected  v. 连接; vbl. 连接

607 connection  n. 联系,关系,连接

608 connective  a. 连接著,连接的; n. 连接物,连接词

609 connector  连接头

610 consent  n. 同意,许可; v. 同意,承诺

611 consequently  ad. 所以,因此

612 consider  v. 考虑,思考,认为

613 consideration  n. 考虑,体贴

614 considered  考虑过的,被尊重的

615 consist  v. 组成,存在,一致

616 consistency  n. 稠度(一致性,相容性)

617 consistent  a. 始终如一的,一致的,坚持的

618 console  v. 安慰,慰藉; n. 控制台,操纵台

619 consolidate  v. 巩固,联合,统一; [计算机] 使固定

620 constant  a. 经常的,不变的; n. 常数,恒量

621 constantly  ad. 不断地,经常地

622 constrain  v. 强迫,勉强,驱使

623 constraint  约束, 强制,约束条件; [计算机] 限制; 对感情的压抑

624 constructing  构造

625 constructor  构造器,构造函数

626 consume  v. 消耗,消费,饮食;毁灭；消磨；枯萎

627 contact  接触,联系

628 contain  v. 包含,容纳,容忍

629 container  n. 容器,集装箱

630 containment  容积,可容度,控制

631 content  n. 内容,目录,含量; a. 满足的,满意的,意义的; v. 使...满足,使...安心

632 contention  n. 争论,争辩,所持的论点; [计算机] 线路争夺

633 context  n. 上下文; n. 环境,背景

634 contextual  a. 文脉上的,以前后关系

635 contiguous  a. 邻近的,接近的

636 continue  v. 继续,连续

637 continued  a. 继续的, 延续的

638 continuous  a. 连续的,继续的,连棉不断的

639 contouring  轮廓线，等高线

640 contractor  n. 立契约的人,承包商

641 contrast  n. 差别,对比,对照物; v. 对比,成对照; [计算机] 反差

642 control  v.&n. 克制,控制

643 controllability  可控制性，控制能力

644 controlled  受控制的,受约束的

645 controller  n. 控制器,管理者,主计员

646 convenience  n. 便利,方便

647 convenient  a. 方便的

648 convention  n. 大会,协定,惯例; [计算机] 约定

649 conventional  a. 普通的,常见的,习惯的,常规的

650 conventional memory  常规内存

651 converged  收敛的，聚合的

652 convergence  会聚,聚焦

653 conversation  n. 会话,谈话

654 conversational  a. 会话的,对话的,健谈的

655 conversion  n. 转变,改变信仰,换位

656 convert  v. 使转变,使...改变信仰,倒置; n. 皈依者,改宗者

657 converted  转换的,修改的

658 converter  转换器

659 coordinate  n. 同等的人物,同位格; a. 同等的,等位的; v. 协调,整合,综合; [计算机] 坐标

660 coordinator  n. 协调者,同等的人或物; [计算机] 协调程序

661 coprocessor  协处理器

662 copy  n. 副本,幕仿,一册; v. 复印,抄袭; n.[计算机] DOS命令 : 复制或组合文件,拷贝

663 copy file  复制文件

664 copyright  a. 版权(的); n. 版权,著作权

665 Copyright Act  版权法案

666 cord  n. 绳索,束缚

667 core  n. 果心,核心,要点; vt. 挖去(水果的)果心; =Congress of Racial Equality 争取种族平等大会

668 corner  n. 角落,转角,窘境; v. 将…逼入困境,使...陷入绝境,垄断; [计算机] 角点

669 corona  n. 电晕(冠状物,日冕,飞檐的上部)

670 corporate video  闭路影视

671 correct  a. 正确的; v. 改正,纠正; vt. 改正

672 correction  n. 订正,改正,改正的地方

673 correctly  ad. 正确地

674 corrector  校正程序

675 correlator  相关因子，相关器

